from	to	combined_score	Protein1	Protein2
9606.ENSP00000242728	9606.ENSP00000363773	265	BHLHE41	C1QA
9606.ENSP00000262113	9606.ENSP00000363773	159	MYOM2	C1QA
9606.ENSP00000262113	9606.ENSP00000363773	159	MYOM2	C1QA
9606.ENSP00000264908	9606.ENSP00000363773	177	ANXA3	C1QA
9606.ENSP00000264908	9606.ENSP00000363773	177	ANXA3	C1QA
9606.ENSP00000265113	9606.ENSP00000363773	235	SLC1A3	C1QA
9606.ENSP00000265113	9606.ENSP00000363773	235	SLC1A3	C1QA
9606.ENSP00000278407	9606.ENSP00000363773	973	SERPING1	C1QA
9606.ENSP00000278407	9606.ENSP00000363773	973	SERPING1	C1QA
9606.ENSP00000289707	9606.ENSP00000363773	531	SLAMF8	C1QA
9606.ENSP00000289707	9606.ENSP00000363773	531	SLAMF8	C1QA
9606.ENSP00000301887	9606.ENSP00000363773	238	BATF2	C1QA
9606.ENSP00000301887	9606.ENSP00000363773	238	BATF2	C1QA
9606.ENSP00000313437	9606.ENSP00000363773	182	MMP19	C1QA
9606.ENSP00000313437	9606.ENSP00000363773	182	MMP19	C1QA
9606.ENSP00000313967	9606.ENSP00000363773	999	C1QB	C1QA
9606.ENSP00000313967	9606.ENSP00000363773	999	C1QB	C1QA
9606.ENSP00000318982	9606.ENSP00000363773	247	EPSTI1	C1QA
9606.ENSP00000318982	9606.ENSP00000363773	247	EPSTI1	C1QA
9606.ENSP00000338260	9606.ENSP00000363773	175	APOL4	C1QA
9606.ENSP00000338260	9606.ENSP00000363773	175	APOL4	C1QA
9606.ENSP00000344352	9606.ENSP00000363773	227	ATF3	C1QA
9606.ENSP00000344352	9606.ENSP00000363773	227	ATF3	C1QA
9606.ENSP00000346839	9606.ENSP00000363773	459	FN1	C1QA
9606.ENSP00000346839	9606.ENSP00000363773	459	FN1	C1QA
9606.ENSP00000348170	9606.ENSP00000363773	202	HP	C1QA
9606.ENSP00000348170	9606.ENSP00000363773	202	HP	C1QA
9606.ENSP00000356037	9606.ENSP00000363773	401	C4BPA	C1QA
9606.ENSP00000356037	9606.ENSP00000363773	401	C4BPA	C1QA
9606.ENSP00000358165	9606.ENSP00000363773	554	FCGR1A	C1QA
9606.ENSP00000358165	9606.ENSP00000363773	554	FCGR1A	C1QA
9606.ENSP00000359485	9606.ENSP00000363773	167	GBP6	C1QA
9606.ENSP00000359485	9606.ENSP00000363773	167	GBP6	C1QA
9606.ENSP00000359488	9606.ENSP00000363773	405	GBP5	C1QA
9606.ENSP00000359488	9606.ENSP00000363773	405	GBP5	C1QA
9606.ENSP00000359504	9606.ENSP00000363773	327	GBP1	C1QA
9606.ENSP00000359504	9606.ENSP00000363773	327	GBP1	C1QA
9606.ENSP00000360998	9606.ENSP00000363773	297	ANKRD22	C1QA
9606.ENSP00000360998	9606.ENSP00000363773	297	ANKRD22	C1QA
9606.ENSP00000363770	9606.ENSP00000363773	999	C1QC	C1QA
9606.ENSP00000363770	9606.ENSP00000363773	999	C1QC	C1QA
9606.ENSP00000356545	9606.ENSP00000366283	178	CACNA1E	SLITRK5
9606.ENSP00000356545	9606.ENSP00000366283	178	CACNA1E	SLITRK5
9606.ENSP00000155093	9606.ENSP00000366582	169	ZFY	INSYN2B
9606.ENSP00000155093	9606.ENSP00000366582	169	ZFY	INSYN2B
9606.ENSP00000366283	9606.ENSP00000366582	188	SLITRK5	INSYN2B
9606.ENSP00000366283	9606.ENSP00000366582	188	SLITRK5	INSYN2B
9606.ENSP00000250784	9606.ENSP00000367462	248	RPS4Y1	OLAH
9606.ENSP00000250784	9606.ENSP00000367462	248	RPS4Y1	OLAH
9606.ENSP00000349365	9606.ENSP00000367462	301	IL27	OLAH
9606.ENSP00000349365	9606.ENSP00000367462	301	IL27	OLAH
9606.ENSP00000357920	9606.ENSP00000367462	256	DDO	OLAH
9606.ENSP00000357920	9606.ENSP00000367462	256	DDO	OLAH
9606.ENSP00000262648	9606.ENSP00000368314	232	ANOS1	NRCAM
9606.ENSP00000262648	9606.ENSP00000368314	232	ANOS1	NRCAM
9606.ENSP00000265113	9606.ENSP00000368314	235	SLC1A3	NRCAM
9606.ENSP00000265113	9606.ENSP00000368314	235	SLC1A3	NRCAM
