Protein1	Protein2	combined_score
FN1	C1QA	459
SERPING1	GBP5	458
FN1	COL4A3	456
SERPING1	BATF2	455
SLC26A8	SEPTIN4	454
KREMEN1	LRP1B	454
COCH	FN1	451
BATF2	ATF3	450
FCGR1A	C1QC	447
FCGR1A	GBP1	433
SLC1A3	GRIN3A	429
SLAMF8	GBP5	428
C4BPA	C1QC	427
SEPTIN4	ANKRD22	423
SLAMF8	ANKRD22	422
BATF2	FCGR1A	420
GRIP1	SYBU	408
BATF2	EPSTI1	406
GBP5	C1QA	405
GBP5	CASP5	403
SERPING1	FCGR1A	401
C4BPA	C1QA	401
SERPING1	IFI27	401
HPN	CORIN	400
FBXO39	SPDYE4	398
SLC1A3	SYN2	395
ANKRD22	GPR84	394
SERPING1	ETV7	386
GPR84	CD177	386
GBP1	CASP5	384
APOL4	ANKRD22	382
SERPING1	ANKRD22	377
BATF2	APOL4	376
C1QB	TMEM119	376
SERPING1	FN1	374
GBP5	IFI27	374
APOL4	SYN2	373
C1QB	IFI27	371
C1QC	TMEM119	363
C1QA	IFI27	360
GBP1	ANKRD22	358
FCGR1A	GPR84	357
SLC1A3	SLAMF8	355
C4BPA	KIF20A	353
CORIN	PDCD1LG2	353
NRCAM	PDCD1LG2	353
HP	FCGR1A	351
LYPD6B	PLEKHG7	351
HP	MOXD1	349
CD274	LRP1B	349
IL27	CD274	347
FCGR1A	CASP5	344
FN1	NRCAM	343
SLC26A8	KCNK17	341
SLITRK5	SYN2	341
SLAMF8	BATF2	339
BATF2	IFI27	337
MOCS1	SLC26A8	335
ANOS1	FGF13	335
C1QB	GBP5	334
ATF3	FN1	331
C1QB	GBP1	330
SLC1A3	FGF13	330
MMP19	FN1	327
GBP1	C1QA	327
CD274	CASP5	326
APOL4	ETV7	324
FCGR1A	TMEM119	324
CD274	FOLR3	323
GBP1	PDCD1LG2	322
FHAD1	C1orf226	322
CD274	FGF13	320
ANXA3	CD177	319
ANKRD22	C1QC	317
GBP6	ANKRD22	314
OTX1	SOX5	314
ANK2	NOS1AP	311
PLLP	ANKRD22	311
COCH	RPS4Y1	308
XKR3	PRR16	305
C1QA	GPR84	303
WNT16	ROR1	302
INSYN2B	LYPD6B	302
IL27	OLAH	301
FN1	PDCD1LG2	301
NAIP	UTY	301
SERPING1	EPSTI1	300
FN1	COL4A4	299
OTX1	FGF13	299
GBP5	NAIP	299
HP	CD177	299
ETV7	SEPTIN4	298
SLAMF8	FCGR1A	298
ETV7	CD274	298
ANXA3	FN1	297
ANKRD22	C1QA	297
SLAMF8	GPR84	297
FCGR1A	CD177	297
RPS4Y1	KIF20A	296
EPSTI1	ETV7	294
BATF2	SEPTIN4	294
ANK2	KIF20A	294
C1QB	ANKRD22	293
USP9Y	KIF20A	292
CORIN	COL4A3	292
TMEM119	GPR84	292
CACNA1E	SYN2	290
EPSTI1	CD274	289
SLC1A3	TMEM119	288
WNT16	KREMEN1	286
ANK2	SYN2	286
COL4A3	FGF13	285
FAM118A	ARL17A	283
SERPING1	GBP6	282
SERPING1	SEPTIN4	281
SLAMF8	CD274	281
ETV7	FCGR1A	280
FCGR1A	FOLR3	279
C1orf226	CD177	278
BATF2	C1QB	277
MOCS1	LYPD6B	277
C1QC	IFI27	277
SYN2	NRN1	276
ANKRD22	CD274	270
INSYN2B	KIF20A	268
BTNL9	CD274	266
BHLHE41	C1QA	265
COCH	EIF1AY	263
BATF2	GBP6	263
GBP6	CD274	263
ANKRD22	CD177	262
LYPD6B	NRN1	262
ATF3	CD274	261
C1QA	CD274	260
WNT16	FGF13	259
EPSTI1	FBXO39	256
DDO	OLAH	256
C1QC	FOLR3	255
KIF20A	FGF13	254
KDM5D	NAIP	251
SLAMF8	APOL4	249
